A+B+G lasso,C elastic-net,D stacked,E Bayesian,Model 5 (composite)
0.11906770033295985,0.11815375498767411,0.16642356305014236,0.09835487559216385,0.12549997349073505
0.22964734459927466,0.23254060218085676,0.17588542914488958,0.25137133057070704,0.222361176623932
0.16498306964665252,0.19606038903840467,0.17060975974010312,0.3274425623934659,0.21477394520465656
0.3642994957093266,0.2924438963871171,0.18454553434370166,0.2508453015762255,0.2730335570040927
0.11542248143343889,0.11669698793625853,0.17652985133441113,0.09269691058430048,0.12533655782210226
0.33587661832961957,0.3148299593125877,0.18255111723566528,0.439935833470809,0.31829838208717043
0.10563559660377693,0.11242374255722062,0.1800635240509064,0.10220067686663441,0.12508088501963457
0.0415689394414473,0.04635410707312057,0.16126110890005263,0.022059811192553538,0.06781099165179351
0.16676577249662158,0.15423567857759984,0.17238524711462505,0.10576477732367143,0.14978786887812948
0.21709733235941858,0.21364674524232238,0.180696498852673,0.1638920589023214,0.19383315883918384
0.10558666423498757,0.09652569339184376,0.16878594727924626,0.11917150885048391,0.12251745343914036
0.13261470200115602,0.11453927180494813,0.17069393416507023,0.04539648031695142,0.11581109707203145
0.151096091897924,0.1510728565699764,0.17206215536841432,0.1072074183418917,0.14535963054455162
0.11501621920437961,0.12368076364715537,0.17020046955224097,0.32529386560881807,0.18354782950314852
0.40516295825405574,0.32402225221801145,0.18956129209739728,0.4999060975381907,0.3546631500269138
0.13230837902381012,0.12592807676364468,0.16969695617448893,0.05885308936411253,0.12169662533151407
0.23279001134029662,0.19433729373145353,0.17929603829843016,0.08702780773803998,0.17336278777705505
0.2989813126524358,0.2509669511731004,0.20081317444869598,0.2675745803064053,0.25458400464515935
0.2532141175136705,0.22525317374887419,0.18139052297347513,0.2071295483896145,0.2167468406564086
0.4488978052494283,0.41216351926930195,0.22778239260809102,0.6214041799619845,0.42756197427220144
0.09208018538515933,0.09849321449305981,0.1642048507253924,0.04041255558753323,0.0987977015477862
0.56156765542963,0.48653287664753864,0.21730437068420866,0.6372661734845643,0.47566776906148545
0.10382768515806973,0.11421473334269965,0.17551237386447807,0.06006121691526214,0.1134040023201274
0.45259738951472467,0.41903175387281627,0.19365443612095853,0.3244730461928548,0.3474391564253385
0.1663213204568916,0.13033834965297467,0.1847061469590076,0.1214689684258764,0.15070869637368756
0.05827491208956255,0.0662887662895823,0.16820213631320352,0.14946949766591894,0.11055882808956682
0.15905897436053534,0.1589584023637984,0.17206605370451164,0.18877082818571353,0.16971356465363974
0.12037797972439723,0.11723445683071668,0.16909383996435728,0.11002872116677376,0.12918374942156124
0.07407568707012653,0.08996130546198641,0.16747151764012727,0.06051475805012256,0.09800581705559071
0.04914867404712943,0.05818804214011007,0.16410490559628105,0.011519345411898307,0.07074024179885471
0.06794459777401926,0.07523399565385887,0.16753627693090375,0.02365158674737791,0.08359161427653994
0.5525494105200139,0.4583184967106722,0.20829943048444055,0.3260644163251102,0.3863079385100592
0.12815905007912962,0.11809317737263328,0.18489131454338442,0.26962182720301453,0.17519134229954048
0.1713813443420256,0.15620024028039872,0.17297742781168815,0.1527406527321386,0.16332491629156276
0.2730497452290793,0.23692197865244674,0.1867006037430426,0.24774346655771656,0.23610394854557126
0.16143163745496078,0.1659499024951418,0.18184733028734773,0.11059082258051092,0.1549549232044903
0.14112520146736196,0.18626960331411002,0.16997741079173062,0.2984574620208254,0.198957419398507
0.1168674991425263,0.11874775823757085,0.17331043296585188,0.20138692192482283,0.15257815306769296
0.08629196236116213,0.08957507272615532,0.16779282441269888,0.029552246918677017,0.09330302660467334
0.07649843243468842,0.07393760540841446,0.16620059585431107,0.07708622558089058,0.09843071481957613
0.1083783237909696,0.11925217311706202,0.1753705680730717,0.1083886064590388,0.12784741786003553
0.4564229978483996,0.38829140925587236,0.20251707408596498,0.42656864224917596,0.36845003085985323
0.03652010377183618,0.04174632316445985,0.16464203556574145,0.03191130798859897,0.06870494262265911
0.17286112131959547,0.189521690857671,0.17028228663902295,0.172638097189785,0.17632579900151862
0.2478679456686456,0.23332278473706677,0.1877943490957048,0.1367408893802094,0.20143149222040663
0.16733614649357947,0.16158040560922343,0.17044073059393844,0.08380643374570744,0.1457909291106122
0.15963150273203144,0.1491502959042263,0.17622824663519274,0.07884784810616066,0.1409644733444028
0.12515891989741426,0.12944849529866082,0.17687514344426167,0.12122744486007317,0.1381775008751025
0.4224887051044089,0.37483112181053213,0.19554434806031679,0.5160755265821557,0.3772349253893534
0.04380451233606908,0.05622957059815503,0.16677067425888434,0.06105395837467572,0.08196467889194604
0.3997262678968541,0.38675753721757034,0.18970224921489692,0.635332687722727,0.4028796855130121
0.14379225713671778,0.14737795469308718,0.172028208232746,0.07299276258153967,0.13404779566102265
0.08390176078404112,0.08687454716976509,0.1696778179384696,0.07264417959825947,0.10327457637263382
0.21331248644124123,0.19434309716516923,0.1815127211484568,0.3582452878150982,0.23685339814249134
0.06764742494014117,0.08248477506376423,0.16884874880263295,0.0510797160993761,0.09251516622647862
